# 道具统一格式：id,name,category,effect,alwaysCatch[,curesSpec]
# category 取 HEAL(回复道具，effect 为回复量)/BALL(捕捉道具，effect 为捕捉倍率)/CURE(解除异常道具)
# alwaysCatch 1 表示必定捕捉成功(如大师球)、0 或省略则按倍率计算
# curesSpec 仅 CURE 使用：ALL 表示解除全部主要异常，也可填 POISON/BADLY_POISON/PARALYSIS/BURN/SLEEP/FREEZE
#   多项用 | 分隔，如解毒药同时解除中毒与剧毒：POISON|BADLY_POISON
id,name,category,effect,alwaysCatch,curesSpec
i_potion,伤药,HEAL,20,0,
i_super_potion,好伤药,HEAL,50,0,
i_poke_ball,精灵球,BALL,3,0,
i_great_ball,超级球,BALL,5,0,
i_ultra_ball,高级球,BALL,8,0,
i_master_ball,大师球,BALL,255,1,
i_premier_ball,纪念球,BALL,3,0,
i_cherish_ball,贵重球,BALL,3,0,
i_safari_ball,狩猎球,BALL,4.5,0,
i_sport_ball,竞赛球,BALL,4.5,0,
i_antidote,解毒药,CURE,0,0,POISON|BADLY_POISON
i_paralyze_heal,麻痹药,CURE,0,0,PARALYSIS
i_burn_heal,灼伤药,CURE,0,0,BURN
i_ice_heal,解冻药,CURE,0,0,FREEZE
i_awakening,醒睡药,CURE,0,0,SLEEP
i_full_heal,万灵药,CURE,0,0,ALL
