# id,name,type,category,power,accuracy,maxPp,priority,inflicts,inflictionChance,effect,flags
# inflicts 为命中后可能施加的异常状态（POISON/BADLY_POISON/PARALYSIS/BURN/SLEEP/FREEZE/CONFUSION），留空表示无
# inflictionChance 为触发概率百分比（0~100），仅当 inflicts 非空时有意义
# effect 为变化招的天气/场地效果（SUNNY_DAY/RAIN_DANCE/SANDSTORM/HAIL/四场地），留空表示无
# flags 为招式标记（CONTACT 接触 / PUNCH 拳 / POWDER 粉末），多标记用 | 分隔，留空表示无
tackle,撞击,NORMAL,PHYSICAL,40,100,35,0,,,,CONTACT
growl,叫声,NORMAL,STATUS,0,100,40,0,,,,
scratch,抓,NORMAL,PHYSICAL,40,100,35,0,,,,CONTACT
tail-whip,摇尾巴,NORMAL,STATUS,0,100,30,0,,,,
quick-attack,电光一闪,NORMAL,PHYSICAL,40,100,30,1,,,,CONTACT
strength,怪力,NORMAL,PHYSICAL,80,100,15,0,,,,CONTACT
body-slam,泰山压顶,NORMAL,PHYSICAL,85,100,15,0,PARALYSIS,30,,CONTACT
harden,硬邦邦,NORMAL,STATUS,0,-1,30,0,,,,
protect,守住,NORMAL,STATUS,0,-1,10,4,,,,
ember,火花,FIRE,SPECIAL,40,100,25,0,BURN,10,,
fire-spin,火焰漩涡,FIRE,SPECIAL,35,85,15,0,,,,
fire-punch,火焰拳,FIRE,PHYSICAL,75,100,15,0,BURN,10,,CONTACT|PUNCH
will-o-wisp,鬼火,FIRE,STATUS,0,85,15,0,BURN,100,,
water-gun,水枪,WATER,SPECIAL,40,100,25,0,,,,
bubble-beam,泡沫光线,WATER,SPECIAL,65,100,20,0,,,,
water-pulse,水之波动,WATER,SPECIAL,60,100,20,0,CONFUSION,20,,
vine-whip,藤鞭,GRASS,PHYSICAL,45,100,25,0,,,,CONTACT
razor-leaf,飞叶快刀,GRASS,PHYSICAL,55,95,25,0,,,,
leech-seed,寄生种子,GRASS,STATUS,0,90,10,0,,,,
sleep-powder,催眠粉,GRASS,STATUS,0,75,15,0,SLEEP,100,,POWDER
thunder-shock,电击,ELECTRIC,SPECIAL,40,100,30,0,PARALYSIS,10,,
thunder,打雷,ELECTRIC,SPECIAL,110,70,10,0,PARALYSIS,30,,
thunder-wave,电磁波,ELECTRIC,STATUS,0,90,20,0,PARALYSIS,100,,
confusion,念力,PSYCHIC,SPECIAL,50,100,25,0,CONFUSION,10,,
psybeam,幻象光线,PSYCHIC,SPECIAL,65,100,20,0,CONFUSION,10,,
agility,高速移动,PSYCHIC,STATUS,0,-1,30,0,,,,
rest,睡觉,PSYCHIC,STATUS,0,-1,10,0,,,,
shadow-punch,暗影拳,GHOST,PHYSICAL,60,-1,20,0,,,,CONTACT|PUNCH
confuse-ray,奇异之光,GHOST,STATUS,0,100,10,0,CONFUSION,100,,
dragon-rage,龙之怒,DRAGON,SPECIAL,40,100,10,0,,,,
rock-throw,落石,ROCK,PHYSICAL,50,90,15,0,,,,
low-kick,踢倒,FIGHTING,PHYSICAL,50,90,20,0,,,,CONTACT
poison-powder,毒粉,POISON,STATUS,0,75,35,0,POISON,100,,POWDER
toxic,剧毒,POISON,STATUS,0,90,10,0,BADLY_POISON,100,,
ice-beam,冰冻光束,ICE,SPECIAL,90,100,10,0,FREEZE,10,,
ice-punch,冰冻拳,ICE,PHYSICAL,75,100,15,0,FREEZE,10,,CONTACT|PUNCH
